ds,total_bookings,cancellations,revenue,avg_adr,avg_lead_time,avg_stay,avg_special_req,missing_rate,fulfilled_bookings,occupancy_rate,cancellation_rate,revpar,day_of_week,month,year,is_weekend
2019-03-04,4,2,1141.76,127.42,98.0,6.0,0.75,0.0,2,0.0167,0.5,2.13,0,3,2019,0
2019-03-05,11,3,21387.05,269.11,109.73,8.0,0.45,0.0,8,0.0667,0.2727,17.95,1,3,2019,0
2019-03-06,5,0,4067.06,130.01,25.4,5.8,0.6,0.0,5,0.0417,0.0,5.42,2,3,2019,0
2019-03-07,10,4,4433.37,128.39,105.5,6.3,0.7,0.0,6,0.05,0.4,6.42,3,3,2019,0
2019-03-08,9,4,3576.6400000000003,128.06,68.33,5.89,0.44,0.0,5,0.0417,0.4444,5.34,4,3,2019,0
2019-03-09,7,4,950.79,142.27,66.43,4.29,0.43,0.0,3,0.025,0.5714,3.56,5,3,2019,1
2019-03-10,8,4,3311.83,110.45,69.38,4.88,1.62,0.0,4,0.0333,0.5,3.68,6,3,2019,1
2019-03-11,5,0,4806.57,118.34,60.2,8.4,0.4,0.0,5,0.0417,0.0,4.93,0,3,2019,0
2019-03-12,8,4,4108.3,110.72,49.5,7.12,1.0,0.0,4,0.0333,0.5,3.69,1,3,2019,0
2019-03-13,5,2,2721.3,84.21,29.8,9.4,1.2,0.0,3,0.025,0.4,2.11,2,3,2019,0
2019-03-14,12,5,5120.1,97.38,39.5,6.67,1.0,0.0,7,0.0583,0.4167,5.68,3,3,2019,0
2019-03-15,5,2,867.63,103.23,50.2,4.6,0.4,0.0,3,0.025,0.4,2.58,4,3,2019,0
2019-03-16,9,2,5826.12,94.22,79.0,8.56,1.44,0.0,7,0.0583,0.2222,5.49,5,3,2019,1
2019-03-17,6,2,3842.1400000000003,120.18,66.67,7.83,1.5,0.0,4,0.0333,0.3333,4.0,6,3,2019,1
2019-03-18,11,2,6474.82,89.12,45.36,7.55,1.0,0.0,9,0.075,0.1818,6.68,0,3,2019,0
2019-03-19,4,2,1831.37,96.22,60.75,6.25,0.25,0.0,2,0.0167,0.5,1.61,1,3,2019,0
2019-03-20,10,3,4109.7,116.19,109.8,5.6,0.8,0.0,7,0.0583,0.3,6.77,2,3,2019,0
2019-03-21,9,0,4711.2,83.19,35.33,6.56,1.44,0.0,9,0.075,0.0,6.24,3,3,2019,0
2019-03-22,14,2,8797.29,108.97,74.5,6.29,1.0,0.0,12,0.1,0.1429,10.9,4,3,2019,0
2019-03-23,6,1,2469.71,116.34,234.5,5.33,2.17,0.0,5,0.0417,0.1667,4.85,5,3,2019,1
2019-03-24,4,1,1813.96,115.62,77.25,5.75,0.25,0.0,3,0.025,0.25,2.89,6,3,2019,1
2019-03-25,8,2,4937.88,108.91,67.5,7.5,0.5,0.0,6,0.05,0.25,5.45,0,3,2019,0
2019-03-26,4,2,1275.7,97.14,104.0,6.5,0.25,0.0,2,0.0167,0.5,1.62,1,3,2019,0
2019-03-27,11,5,4645.22,103.65,165.18,7.36,0.82,0.0,6,0.05,0.4545,5.18,2,3,2019,0
2019-03-28,9,3,4920.37,102.81,75.89,6.89,0.67,0.0,6,0.05,0.3333,5.14,3,3,2019,0
2019-03-29,8,1,4278.39,71.58,76.12,6.88,0.5,0.0,7,0.0583,0.125,4.17,4,3,2019,0
2019-03-30,5,0,3884.84,106.23,37.8,6.8,0.6,0.0,5,0.0417,0.0,4.43,5,3,2019,1
2019-03-31,4,2,2476.56,94.35,60.5,10.0,0.25,0.0,2,0.0167,0.5,1.58,6,3,2019,1
2019-04-01,20,5,11930.2,112.78,83.65,7.2,0.9,0.0,15,0.125,0.25,14.1,0,4,2019,0
2019-04-02,7,3,4692.0199999999995,122.34,90.86,7.86,0.71,0.0,4,0.0333,0.4286,4.07,1,4,2019,0
2019-04-03,8,5,1817.71,85.62,54.5,6.0,0.88,0.0,3,0.025,0.625,2.14,2,4,2019,0
2019-04-04,15,3,7804.52,93.11,69.27,6.27,0.53,0.0,12,0.1,0.2,9.31,3,4,2019,0
2019-04-05,10,4,4661.96,107.95,55.7,5.8,0.5,0.0,6,0.05,0.4,5.4,4,4,2019,0
2019-04-06,11,4,4890.0,125.71,68.91,4.91,1.09,0.0,7,0.0583,0.3636,7.33,5,4,2019,1
2019-04-07,6,1,3097.71,126.37,79.5,4.33,1.33,0.0,5,0.0417,0.1667,5.27,6,4,2019,1
2019-04-08,10,1,3373.91,70.81,72.3,4.6,1.1,0.0,9,0.075,0.1,5.31,0,4,2019,0
2019-04-09,15,1,13899.17,128.43,68.2,7.53,0.13,0.0,14,0.1167,0.0667,14.99,1,4,2019,0
2019-04-10,13,3,6229.63,122.64,54.69,5.46,0.85,0.0,10,0.0833,0.2308,10.22,2,4,2019,0
2019-04-11,11,3,7463.5,130.13,73.09,5.91,0.82,0.0,8,0.0667,0.2727,8.68,3,4,2019,0
2019-04-12,8,1,5245.82,129.56,39.0,5.0,0.25,0.0,7,0.0583,0.125,7.55,4,4,2019,0
2019-04-13,10,3,4854.77,117.63,105.4,5.1,0.1,0.0,7,0.0583,0.3,6.86,5,4,2019,1
2019-04-14,12,2,9904.95,108.26,83.58,7.5,1.0,0.0,10,0.0833,0.1667,9.02,6,4,2019,1
2019-04-15,9,2,5561.58,103.27,107.11,8.33,1.44,0.0,7,0.0583,0.2222,6.02,0,4,2019,0
2019-04-16,12,3,7146.24,113.0,81.17,7.08,1.17,0.0,9,0.075,0.25,8.48,1,4,2019,0
2019-04-17,12,4,4997.29,99.9,68.25,5.0,0.42,0.0,8,0.0667,0.3333,6.66,2,4,2019,0
2019-04-18,11,3,5077.76,105.85,82.82,7.18,0.64,0.0,8,0.0667,0.2727,7.06,3,4,2019,0
2019-04-19,10,3,4179.15,138.87,111.1,4.9,1.3,0.0,7,0.0583,0.3,8.1,4,4,2019,0
2019-04-20,8,2,4395.39,113.69,53.88,6.62,0.62,0.0,6,0.05,0.25,5.68,5,4,2019,1
2019-04-21,11,2,5566.25,116.11,68.18,5.64,0.91,0.0,9,0.075,0.1818,8.71,6,4,2019,1
2019-04-22,10,2,6681.71,109.12,59.1,6.7,1.3,0.0,8,0.0667,0.2,7.28,0,4,2019,0
2019-04-23,9,1,6988.55,119.84,58.67,8.33,1.22,0.0,8,0.0667,0.1111,7.99,1,4,2019,0
2019-04-24,13,5,5265.68,117.72,87.15,6.38,0.54,0.0,8,0.0667,0.3846,7.85,2,4,2019,0
2019-04-25,8,2,4243.85,171.28,75.88,5.25,0.88,0.0,6,0.05,0.25,8.56,3,4,2019,0
2019-04-26,4,0,2485.38,105.07,38.25,5.5,0.5,0.0,4,0.0333,0.0,3.5,4,4,2019,0
2019-04-27,7,2,5677.05,120.19,87.71,8.0,0.29,0.0,5,0.0417,0.2857,5.01,5,4,2019,1
2019-04-28,10,3,3900.91,115.41,46.8,5.3,1.1,0.0,7,0.0583,0.3,6.73,6,4,2019,1
2019-04-29,11,5,3953.59,106.12,50.91,6.91,0.18,0.0,6,0.05,0.4545,5.31,0,4,2019,0
2019-04-30,8,2,3963.64,111.77,70.38,5.12,1.12,0.0,6,0.05,0.25,5.59,1,4,2019,0
2019-05-01,10,3,5689.24,117.48,108.5,6.7,1.6,0.0,7,0.0583,0.3,6.85,2,5,2019,0
2019-05-02,15,6,6891.54,108.6,78.33,6.73,1.47,0.0,9,0.075,0.4,8.14,3,5,2019,0
2019-05-03,13,3,9875.77,129.21,61.85,7.23,0.85,0.0,10,0.0833,0.2308,10.76,4,5,2019,0
2019-05-04,13,1,7736.99,111.87,86.69,5.69,0.92,0.0,12,0.1,0.0769,11.19,5,5,2019,1
2019-05-05,12,3,8159.54,120.54,97.67,8.08,1.25,0.0,9,0.075,0.25,9.04,6,5,2019,1
2019-05-06,11,4,4346.13,92.99,51.55,6.91,1.55,0.0,7,0.0583,0.3636,5.42,0,5,2019,0
2019-05-07,14,3,10786.02,115.49,66.43,8.36,1.5,0.0,11,0.0917,0.2143,10.59,1,5,2019,0
2019-05-08,16,3,9152.82,115.1,57.31,6.56,0.69,0.0,13,0.1083,0.1875,12.47,2,5,2019,0
2019-05-09,15,4,9232.71,114.28,177.2,6.6,1.07,0.0,11,0.0917,0.2667,10.48,3,5,2019,0
2019-05-10,18,2,12814.88,119.04,66.33,6.06,0.67,0.0,16,0.1333,0.1111,15.87,4,5,2019,0
2019-05-11,15,3,9814.19,126.35,75.33,6.6,1.13,0.0,12,0.1,0.2,12.64,5,5,2019,1
2019-05-12,23,9,10022.51,112.62,117.04,5.48,1.0,0.0,14,0.1167,0.3913,13.14,6,5,2019,1
2019-05-13,11,1,10385.609999999999,190.46,91.73,5.0,0.82,0.0,10,0.0833,0.0909,15.87,0,5,2019,0
2019-05-14,18,5,10446.25,108.33,62.94,7.67,0.61,0.0,13,0.1083,0.2778,11.73,1,5,2019,0
2019-05-15,19,5,10355.29,116.37,85.11,6.95,0.84,0.0,14,0.1167,0.2632,13.58,2,5,2019,0
2019-05-16,18,4,11603.57,112.4,31.28,7.5,1.22,0.0,14,0.1167,0.2222,13.12,3,5,2019,0
2019-05-17,13,2,11205.67,229.56,85.08,7.08,0.92,0.0,11,0.0917,0.1538,21.05,4,5,2019,0
2019-05-18,16,4,9057.06,126.03,47.88,6.12,0.75,0.0,12,0.1,0.25,12.6,5,5,2019,1
2019-05-19,18,3,10836.21,106.59,87.94,6.0,0.83,0.0,15,0.125,0.1667,13.32,6,5,2019,1
2019-05-20,15,2,10312.55,117.05,60.27,7.33,0.73,0.0,13,0.1083,0.1333,12.68,0,5,2019,0
2019-05-21,16,3,9634.3,120.16,68.06,6.25,0.44,0.0,13,0.1083,0.1875,13.01,1,5,2019,0
2019-05-22,12,4,3574.61,110.29,74.75,4.75,0.58,0.0,8,0.0667,0.3333,7.36,2,5,2019,0
2019-05-23,13,1,8632.619999999999,104.64,31.38,6.85,0.69,0.0,12,0.1,0.0769,10.46,3,5,2019,0
2019-05-24,23,6,10537.150000000001,112.04,84.74,5.78,1.17,0.0,17,0.1417,0.2609,15.88,4,5,2019,0
2019-05-25,11,3,5557.1,120.29,95.73,5.27,0.64,0.0,8,0.0667,0.2727,8.02,5,5,2019,1
2019-05-26,12,2,8653.01,106.97,54.5,8.25,1.42,0.0,10,0.0833,0.1667,8.91,6,5,2019,1
2019-05-27,19,8,8572.28,97.92,101.84,6.84,1.11,0.0,11,0.0917,0.4211,8.98,0,5,2019,0
2019-05-28,21,6,11416.29,119.63,74.05,6.0,0.81,0.0,15,0.125,0.2857,14.95,1,5,2019,0
2019-05-29,22,7,12224.34,118.09,68.5,6.64,1.23,0.0,15,0.125,0.3182,14.76,2,5,2019,0
2019-05-30,4,3,604.38,93.5,88.75,7.5,0.25,0.0,1,0.0083,0.75,0.78,3,5,2019,0
2019-05-31,17,4,9488.95,109.07,105.35,6.65,0.47,0.0,13,0.1083,0.2353,11.81,4,5,2019,0
2019-06-01,13,1,10988.65,125.03,61.54,7.31,1.08,0.0,12,0.1,0.0769,12.5,5,6,2019,1
2019-06-02,26,11,14918.800000000001,127.85,60.04,6.65,0.73,0.0,15,0.125,0.4231,15.98,6,6,2019,1
2019-06-03,26,6,16336.5,117.65,132.62,6.88,0.65,0.0,20,0.1667,0.2308,19.61,0,6,2019,0
2019-06-04,16,3,9276.46,111.36,86.88,6.81,0.44,0.0,13,0.1083,0.1875,12.06,1,6,2019,0
2019-06-05,21,3,13778.86,122.76,54.48,5.71,0.67,0.0,18,0.15,0.1429,18.41,2,6,2019,0
2019-06-06,19,3,13056.94,128.05,77.47,6.58,1.05,0.0,16,0.1333,0.1579,17.07,3,6,2019,0
2019-06-07,16,4,8532.869999999999,113.72,155.25,7.12,0.94,0.0,12,0.1,0.25,11.37,4,6,2019,0
2019-06-08,24,8,17675.79,138.52,61.33,7.17,1.0,0.0,16,0.1333,0.3333,18.46,5,6,2019,1
2019-06-09,33,13,16419.07,131.49,97.58,6.12,0.82,0.0,20,0.1667,0.3939,21.92,6,6,2019,1
2019-06-10,19,6,10060.85,122.37,79.79,6.42,0.89,0.0,13,0.1083,0.3158,13.25,0,6,2019,0
2019-06-11,30,7,15372.02,110.75,113.13,6.0,1.4,0.0,23,0.1917,0.2333,21.23,1,6,2019,0
2019-06-12,22,6,13204.32,116.86,95.86,7.32,1.18,0.0,16,0.1333,0.2727,15.58,2,6,2019,0
2019-06-13,27,8,18441.8,119.67,56.96,7.7,0.96,0.0,19,0.1583,0.2963,18.94,3,6,2019,0
2019-06-14,24,8,10592.56,119.14,81.08,6.25,0.67,0.0,16,0.1333,0.3333,15.88,4,6,2019,0
2019-06-15,24,10,15788.05,128.21,64.38,7.38,1.04,0.0,14,0.1167,0.4167,14.96,5,6,2019,1
2019-06-16,25,3,20131.06,135.01,72.04,6.28,0.64,0.0,22,0.1833,0.12,24.75,6,6,2019,1
2019-06-17,21,6,13114.869999999999,115.93,71.81,6.43,1.0,0.0,15,0.125,0.2857,14.49,0,6,2019,0
2019-06-18,22,3,15455.98,121.97,76.05,6.23,1.14,0.0,19,0.1583,0.1364,19.31,1,6,2019,0
2019-06-19,19,4,9666.31,115.21,134.47,5.84,1.32,0.0,15,0.125,0.2105,14.4,2,6,2019,0
2019-06-20,23,4,18189.79,118.63,49.91,7.43,1.0,0.0,19,0.1583,0.1739,18.78,3,6,2019,0
2019-06-21,29,6,21261.27,125.47,66.14,7.03,0.69,0.0,23,0.1917,0.2069,24.05,4,6,2019,0
2019-06-22,39,10,17933.6,114.6,67.08,5.67,0.44,0.0,29,0.2417,0.2564,27.7,5,6,2019,1
2019-06-23,23,3,18682.36,132.26,55.78,6.96,0.91,0.0,20,0.1667,0.1304,22.05,6,6,2019,1
2019-06-24,28,8,14107.48,107.73,64.14,6.36,1.07,0.0,20,0.1667,0.2857,17.96,0,6,2019,0
2019-06-25,16,4,8150.59,123.24,71.12,5.81,1.0,0.0,12,0.1,0.25,12.32,1,6,2019,0
2019-06-26,38,7,21385.0,104.17,86.76,6.76,0.66,0.0,31,0.2583,0.1842,26.91,2,6,2019,0
2019-06-27,36,5,25414.25,114.7,50.89,7.06,0.75,0.0,31,0.2583,0.1389,29.63,3,6,2019,0
2019-06-28,20,4,9472.46,102.83,130.15,6.8,1.0,0.0,16,0.1333,0.2,13.71,4,6,2019,0
2019-06-29,32,5,23962.33,124.12,54.56,6.94,0.94,0.0,27,0.225,0.1562,27.93,5,6,2019,1
2019-06-30,24,7,11585.35,121.44,106.38,5.92,0.75,0.0,17,0.1417,0.2917,17.21,6,6,2019,1
2019-07-01,42,13,26833.62,134.89,81.79,6.6,1.0,0.0,29,0.2417,0.3095,32.6,0,7,2019,0
2019-07-02,35,11,19344.25,112.99,69.34,7.37,0.83,0.0,24,0.2,0.3143,22.6,1,7,2019,0
2019-07-03,34,7,17357.06,115.8,74.71,5.32,0.76,0.0,27,0.225,0.2059,26.06,2,7,2019,0
2019-07-04,31,8,18997.809999999998,140.69,61.9,6.35,0.42,0.0,23,0.1917,0.2581,26.97,3,7,2019,0
2019-07-05,44,14,25069.89,119.55,103.48,6.91,0.55,0.0,30,0.25,0.3182,29.89,4,7,2019,0
2019-07-06,35,11,22448.19,129.45,64.09,6.66,0.69,0.0,24,0.2,0.3143,25.89,5,7,2019,1
2019-07-07,35,9,21933.73,125.58,63.89,6.54,0.71,0.0,26,0.2167,0.2571,27.21,6,7,2019,1
2019-07-08,47,18,25373.64,128.87,80.55,6.28,0.53,0.0,29,0.2417,0.383,31.15,0,7,2019,0
2019-07-09,25,7,20561.0,133.71,79.8,7.8,0.72,0.0,18,0.15,0.28,20.06,1,7,2019,0
2019-07-10,30,9,13389.18,115.19,75.63,6.4,0.57,0.0,21,0.175,0.3,20.16,2,7,2019,0
2019-07-11,31,7,17195.03,128.06,96.81,6.13,0.77,0.0,24,0.2,0.2258,25.61,3,7,2019,0
2019-07-12,36,15,14962.03,160.26,67.44,6.33,0.86,0.0,21,0.175,0.4167,28.05,4,7,2019,0
2019-07-13,34,7,22844.14,135.22,95.0,6.26,0.65,0.0,27,0.225,0.2059,30.42,5,7,2019,1
2019-07-14,53,11,37299.7,175.97,55.3,6.38,0.91,0.0,42,0.35,0.2075,61.59,6,7,2019,1
2019-07-15,44,19,20900.54,116.49,91.11,7.07,0.57,0.0,25,0.2083,0.4318,24.26,0,7,2019,0
2019-07-16,35,10,19224.23,134.94,47.34,6.4,1.03,0.0,25,0.2083,0.2857,28.11,1,7,2019,0
2019-07-17,32,12,16722.57,116.14,81.84,7.06,0.66,0.0,20,0.1667,0.375,19.36,2,7,2019,0
2019-07-18,29,9,17556.29,135.52,118.86,6.72,0.83,0.0,20,0.1667,0.3103,22.59,3,7,2019,0
2019-07-19,33,7,18848.68,116.74,62.64,6.76,0.88,0.0,26,0.2167,0.2121,25.3,4,7,2019,0
2019-07-20,39,7,24462.36,116.88,78.0,6.82,1.21,0.0,32,0.2667,0.1795,31.17,5,7,2019,1
2019-07-21,40,11,24862.04,128.93,84.68,6.38,0.68,0.0,29,0.2417,0.275,31.16,6,7,2019,1
2019-07-22,28,12,11811.58,127.23,71.0,5.96,0.86,0.0,16,0.1333,0.4286,16.96,0,7,2019,0
2019-07-23,33,13,14764.18,119.46,122.42,6.21,0.64,0.0,20,0.1667,0.3939,19.91,1,7,2019,0
2019-07-24,36,10,20617.86,110.5,62.92,6.25,0.72,0.0,26,0.2167,0.2778,23.95,2,7,2019,0
2019-07-25,28,4,17508.56,125.71,55.07,6.25,0.93,0.0,24,0.2,0.1429,25.14,3,7,2019,0
2019-07-26,25,9,15541.36,134.55,59.84,7.08,1.04,0.0,16,0.1333,0.36,17.94,4,7,2019,0
2019-07-27,33,11,15138.66,125.95,94.09,5.7,0.58,0.0,22,0.1833,0.3333,23.09,5,7,2019,1
2019-07-28,40,12,26367.71,186.93,77.0,6.42,1.05,0.0,28,0.2333,0.3,43.61,6,7,2019,1
2019-07-29,18,6,7899.29,105.7,48.56,6.67,1.06,0.0,12,0.1,0.3333,10.57,0,7,2019,0
2019-07-30,34,8,21747.8,128.24,52.09,6.47,1.03,0.0,26,0.2167,0.2353,27.79,1,7,2019,0
2019-07-31,35,8,24208.64,122.21,61.06,7.11,0.66,0.0,27,0.225,0.2286,27.5,2,7,2019,0
2019-08-01,34,7,18417.84,121.1,74.21,5.62,1.0,0.0,27,0.225,0.2059,27.25,3,8,2019,0
2019-08-02,45,14,24490.99,125.62,62.73,6.38,0.82,0.0,31,0.2583,0.3111,32.45,4,8,2019,0
2019-08-03,44,6,36504.62,140.04,76.14,6.55,0.73,0.0,38,0.3167,0.1364,44.35,5,8,2019,1
2019-08-04,50,15,32102.4,130.87,51.38,6.62,0.62,0.0,35,0.2917,0.3,38.17,6,8,2019,1
2019-08-05,35,9,17771.3,120.45,72.26,6.46,0.71,0.0,26,0.2167,0.2571,26.1,0,8,2019,0
2019-08-06,40,9,29149.63,123.02,80.28,7.25,1.02,0.0,31,0.2583,0.225,31.78,1,8,2019,0
2019-08-07,41,12,20027.13,156.25,99.71,5.51,0.73,0.0,29,0.2417,0.2927,37.77,2,8,2019,0
2019-08-08,28,6,17201.1,121.38,62.79,6.29,0.68,0.0,22,0.1833,0.2143,22.25,3,8,2019,0
2019-08-09,40,12,21943.12,117.65,54.68,6.85,0.78,0.0,28,0.2333,0.3,27.45,4,8,2019,0
2019-08-10,35,8,22863.53,142.6,62.43,6.57,0.89,0.0,27,0.225,0.2286,32.08,5,8,2019,1
2019-08-11,37,12,25833.86,135.41,95.0,7.0,0.73,0.0,25,0.2083,0.3243,28.21,6,8,2019,1
2019-08-12,31,5,20449.39,126.73,56.71,6.23,0.9,0.0,26,0.2167,0.1613,27.46,0,8,2019,0
2019-08-13,33,18,13554.14,135.65,65.06,6.52,0.36,0.0,15,0.125,0.5455,16.96,1,8,2019,0
2019-08-14,39,12,23196.49,128.34,52.92,6.77,0.62,0.0,27,0.225,0.3077,28.88,2,8,2019,0
2019-08-15,40,10,23508.91,118.05,64.97,6.75,0.65,0.0,30,0.25,0.25,29.51,3,8,2019,0
