ds,temperature_c,precipitation_mm,local_events,holiday_flag,competitor_adr,cpi_yoy,consumer_confidence,search_trend
2019-02-04,15.2,4.1,0,0,108.08,0.95,95.8,38.7
2019-02-05,14.9,1.8,0,0,99.41,0.67,96.3,37.4
2019-02-06,13.2,13.3,0,0,121.61,0.94,97.1,48.7
2019-02-07,15.7,0.3,0,0,129.28,1.0,95.1,39.9
2019-02-08,16.1,18.4,0,0,148.62,0.65,92.5,52.1
2019-02-09,12.2,0.4,0,0,99.26,0.76,94.9,51.5
2019-02-10,16.5,3.9,0,0,132.26,1.1,97.5,45.3
2019-02-11,15.0,6.0,0,0,109.98,1.76,95.5,42.5
2019-02-12,14.1,0.5,0,0,104.11,0.88,96.3,34.0
2019-02-13,13.0,3.7,0,0,100.44,0.85,97.7,48.3
2019-02-14,15.0,6.2,0,0,115.22,0.98,98.2,42.1
2019-02-15,15.5,8.6,1,0,229.8,1.18,98.0,51.1
2019-02-16,15.1,4.0,0,0,126.46,1.04,98.0,42.9
2019-02-17,14.0,0.4,0,0,135.51,1.28,97.3,57.4
2019-02-18,14.1,4.1,0,0,153.7,0.53,98.3,44.2
2019-02-19,17.1,4.1,0,0,99.73,0.44,94.7,49.0
2019-02-20,16.2,9.2,0,0,111.13,0.96,95.9,46.8
2019-02-21,16.7,19.1,0,0,91.17,0.78,95.7,47.9
2019-02-22,17.4,7.2,0,0,106.12,0.47,96.5,51.6
2019-02-23,17.6,3.3,0,0,136.92,1.12,94.9,48.7
2019-02-24,19.3,1.0,0,0,145.18,0.95,97.3,44.2
2019-02-25,16.7,3.6,0,0,130.02,0.75,96.1,48.0
2019-02-26,16.5,4.8,0,0,117.97,1.31,93.6,54.2
2019-02-27,15.6,3.7,0,0,119.27,1.42,95.4,45.5
2019-02-28,17.5,6.7,0,0,124.1,0.88,96.6,45.1
2019-03-01,17.7,26.8,0,0,116.86,0.77,95.7,50.0
2019-03-02,16.3,6.2,0,0,129.53,0.78,94.2,46.0
2019-03-03,17.5,1.7,0,0,108.51,1.11,94.8,45.4
2019-03-04,17.7,2.3,0,0,108.44,1.18,96.4,49.7
2019-03-05,23.3,0.8,1,0,264.0,1.17,93.6,46.0
2019-03-06,17.2,32.5,0,0,123.66,0.79,96.6,50.6
2019-03-07,20.0,6.6,0,0,140.32,1.04,98.9,55.2
2019-03-08,18.8,13.6,0,0,133.55,0.66,97.3,52.3
2019-03-09,18.2,2.1,0,0,147.11,0.4,99.4,51.9
2019-03-10,19.1,23.8,0,0,107.5,0.88,100.0,64.3
2019-03-11,19.2,4.5,0,0,125.76,1.33,94.7,56.5
2019-03-12,18.7,12.4,0,0,109.7,0.76,95.0,51.3
2019-03-13,18.5,8.6,0,0,92.32,1.04,93.0,52.8
2019-03-14,18.5,2.1,0,0,107.08,0.49,96.8,56.5
2019-03-15,18.6,7.8,1,0,109.85,0.61,95.9,53.2
2019-03-16,19.7,3.4,0,0,80.1,1.35,95.9,57.7
2019-03-17,19.3,2.5,0,0,123.27,0.85,96.6,44.6
2019-03-18,21.0,2.0,0,0,79.66,1.13,98.6,56.4
2019-03-19,21.8,0.9,0,0,105.19,0.97,97.1,59.6
2019-03-20,19.8,8.6,0,0,139.12,1.05,95.5,63.4
2019-03-21,19.6,0.5,0,0,90.63,1.11,93.3,55.8
2019-03-22,22.1,0.9,0,0,112.29,0.76,93.5,55.0
2019-03-23,20.2,5.7,0,0,121.0,0.63,98.1,56.2
2019-03-24,20.7,5.0,1,0,122.91,0.91,96.0,67.5
2019-03-25,20.0,15.7,0,0,115.43,0.54,94.5,49.8
2019-03-26,20.9,0.2,0,0,85.6,0.72,96.1,61.8
2019-03-27,22.8,5.4,0,0,104.39,0.61,92.1,57.8
2019-03-28,22.3,16.1,0,0,112.74,0.95,97.8,59.3
2019-03-29,19.5,0.5,0,0,64.67,0.98,94.9,56.7
2019-03-30,20.0,4.2,0,0,115.06,1.08,96.8,61.4
2019-03-31,20.8,7.3,0,0,81.47,1.58,94.8,64.6
2019-04-01,21.1,0.0,1,0,114.88,0.85,95.5,60.7
2019-04-02,22.7,0.2,0,0,114.05,1.04,99.8,59.7
2019-04-03,18.6,2.5,0,0,68.14,1.02,97.0,67.1
2019-04-04,23.8,0.9,0,0,95.67,0.79,95.8,59.2
2019-04-05,20.3,4.6,0,0,107.28,0.87,99.9,64.6
2019-04-06,23.7,9.7,0,0,128.75,0.54,99.8,63.2
2019-04-07,20.4,7.3,0,0,112.15,0.78,100.0,59.5
2019-04-08,22.1,4.8,1,0,76.99,1.01,96.0,63.0
2019-04-09,23.9,2.9,0,0,132.73,1.07,97.1,61.6
2019-04-10,22.8,0.8,0,1,127.36,0.97,95.7,68.8
2019-04-11,24.6,3.6,0,1,121.43,0.87,98.8,52.9
2019-04-12,26.7,3.1,0,0,117.47,0.9,96.1,64.4
2019-04-13,22.3,2.5,0,0,111.21,0.85,96.5,58.4
2019-04-14,21.8,9.8,0,0,119.66,0.46,102.0,69.3
2019-04-15,21.6,1.0,0,0,94.83,0.76,98.1,68.3
2019-04-16,21.2,0.8,0,0,109.94,1.18,97.4,67.5
2019-04-17,23.2,1.1,0,0,91.55,0.8,100.4,70.8
2019-04-18,21.3,8.7,0,0,91.52,1.95,98.8,62.0
2019-04-19,19.9,5.0,0,0,142.81,0.44,100.7,68.9
2019-04-20,23.0,5.4,0,0,117.07,1.49,98.0,62.1
2019-04-21,26.5,1.4,0,0,128.46,0.49,96.0,60.6
2019-04-22,24.6,1.0,0,0,127.96,0.6,97.5,66.7
2019-04-23,22.4,9.1,0,0,128.95,0.24,101.0,63.3
2019-04-24,23.1,8.5,0,0,90.92,0.78,94.9,65.7
2019-04-25,25.7,1.8,0,1,177.64,1.2,98.7,69.6
2019-04-26,24.9,1.9,0,0,93.62,0.74,97.3,65.6
2019-04-27,24.1,0.9,0,0,108.35,0.52,99.4,65.8
2019-04-28,26.5,3.4,0,0,117.17,1.02,96.7,66.0
2019-04-29,25.4,3.5,0,0,111.87,1.05,99.4,73.2
2019-04-30,24.5,0.2,0,0,121.89,0.59,98.1,69.3
2019-05-01,25.2,0.2,0,1,109.23,0.88,98.4,70.8
2019-05-02,25.8,0.5,0,0,96.77,0.73,101.1,74.0
2019-05-03,27.3,0.7,0,0,131.91,1.13,99.5,77.8
2019-05-04,23.9,0.3,1,0,108.72,1.14,100.6,69.8
2019-05-05,25.4,7.0,0,0,119.2,0.65,98.0,62.8
2019-05-06,25.2,5.6,0,0,84.09,0.88,97.2,80.1
2019-05-07,22.8,5.7,0,0,133.52,0.71,97.7,77.2
2019-05-08,24.9,0.4,0,0,117.09,0.79,100.8,71.9
2019-05-09,23.6,4.3,0,0,104.26,0.8,99.6,77.5
2019-05-10,26.2,1.0,0,0,118.04,0.68,100.5,67.9
2019-05-11,25.8,1.2,1,0,123.2,0.77,97.2,67.9
2019-05-12,26.7,0.5,0,0,113.64,0.91,99.3,75.6
2019-05-13,26.7,0.9,0,0,197.52,0.59,99.0,73.8
2019-05-14,24.0,2.5,0,0,136.07,1.11,102.2,73.9
2019-05-15,26.5,1.7,0,0,126.44,1.05,100.2,80.3
2019-05-16,27.2,1.9,0,0,111.74,1.15,101.3,71.6
2019-05-17,28.0,0.2,0,0,240.41,0.99,100.5,74.5
2019-05-18,26.7,6.1,0,0,121.79,1.06,96.6,75.5
2019-05-19,25.9,0.1,0,0,125.19,0.71,95.7,81.9
2019-05-20,27.2,2.5,0,0,104.02,0.48,103.1,70.7
2019-05-21,28.9,2.1,0,0,123.66,1.03,101.1,83.4
2019-05-22,27.3,1.7,0,0,111.54,0.37,102.3,80.2
2019-05-23,24.5,2.8,0,0,114.01,1.11,98.2,77.7
2019-05-24,27.9,0.8,0,0,113.18,0.6,100.2,84.5
2019-05-25,27.2,1.1,0,0,129.04,0.89,100.3,80.2
2019-05-26,27.3,0.7,0,0,108.52,1.57,99.1,75.2
2019-05-27,26.7,0.8,0,0,73.52,1.2,101.1,81.2
2019-05-28,27.4,0.1,0,0,115.67,0.67,98.4,82.1
2019-05-29,27.5,1.3,0,0,130.12,0.67,100.3,86.8
2019-05-30,25.3,1.2,0,0,101.42,1.36,98.1,83.2
2019-05-31,28.7,0.0,0,0,115.87,1.07,101.1,78.0
2019-06-01,27.1,0.3,0,0,135.48,0.44,104.7,71.8
2019-06-02,27.4,0.1,0,0,126.63,1.25,102.4,77.7
2019-06-03,27.0,0.7,0,0,96.43,1.36,104.9,72.0
2019-06-04,29.8,1.0,1,0,121.42,0.67,99.9,84.5
2019-06-05,29.2,0.4,0,0,111.7,1.27,102.2,73.6
2019-06-06,29.9,1.0,0,0,130.75,1.55,96.8,68.8
2019-06-07,27.3,0.0,0,0,120.81,1.14,102.1,81.6
2019-06-08,25.7,0.1,0,0,131.78,1.2,102.0,70.7
2019-06-09,27.4,0.7,0,0,124.23,1.45,100.9,77.1
2019-06-10,29.5,0.5,0,1,127.83,0.77,102.6,74.2
2019-06-11,29.8,0.4,0,0,127.04,1.14,98.8,84.7
2019-06-12,26.6,1.6,0,0,126.24,1.03,105.8,81.6
2019-06-13,29.8,0.2,0,0,122.82,0.34,101.1,79.4
2019-06-14,25.8,1.5,0,0,126.03,0.52,100.6,83.2
2019-06-15,27.8,0.1,0,0,111.53,0.81,105.0,78.7
2019-06-16,28.1,1.5,0,0,129.1,0.92,104.4,77.7
2019-06-17,30.2,2.0,0,0,120.01,0.45,98.8,75.3
2019-06-18,25.2,1.2,0,0,102.44,1.55,101.7,77.1
2019-06-19,25.8,1.0,0,0,108.91,0.71,102.1,77.3
2019-06-20,24.5,1.5,0,0,125.21,0.91,101.5,86.4
2019-06-21,26.4,0.2,0,0,100.58,0.99,100.7,82.2
2019-06-22,24.9,0.0,0,0,103.62,1.15,98.8,86.1
2019-06-23,28.5,2.0,0,0,128.89,1.46,103.1,76.6
2019-06-24,26.2,0.5,0,0,96.36,0.99,106.0,83.1
2019-06-25,26.9,1.0,0,0,121.16,0.31,102.9,85.4
2019-06-26,31.0,0.1,0,0,118.89,1.27,104.4,80.5
2019-06-27,28.6,0.0,0,0,110.97,1.0,101.5,75.5
2019-06-28,27.0,0.2,0,0,103.29,0.99,99.6,74.2
2019-06-29,28.6,1.2,0,0,114.9,1.21,103.6,85.8
2019-06-30,28.8,0.3,0,0,126.49,0.94,103.3,75.9
2019-07-01,29.6,0.5,0,0,131.42,0.55,103.1,87.2
2019-07-02,26.7,0.1,0,0,116.23,1.01,100.4,65.7
2019-07-03,28.1,0.6,0,0,128.04,0.78,104.5,77.8
2019-07-04,27.7,2.0,0,0,153.25,1.24,106.0,79.7
2019-07-05,27.5,2.7,0,0,107.21,0.7,101.1,78.1
2019-07-06,27.0,0.7,0,0,120.11,0.88,106.6,81.8
2019-07-07,28.9,1.5,0,0,113.85,0.49,104.1,83.7
2019-07-08,28.7,0.2,0,0,141.66,0.81,101.3,87.6
2019-07-09,25.2,0.8,0,0,132.21,1.54,104.5,87.5
2019-07-10,26.4,2.1,0,0,117.21,0.79,102.3,80.5
2019-07-11,27.3,1.2,0,0,122.11,0.9,103.6,79.4
2019-07-12,28.6,0.3,0,0,158.8,1.1,101.7,77.0
2019-07-13,27.7,0.2,0,0,119.43,1.4,99.7,80.1
2019-07-14,28.6,2.7,0,0,172.8,0.85,103.4,83.5
2019-07-15,26.9,2.4,1,0,126.76,0.83,106.3,84.0
2019-07-16,26.4,0.3,0,0,138.21,0.75,100.1,70.2
2019-07-17,27.4,0.2,0,0,110.6,1.26,108.2,89.1
2019-07-18,29.1,0.5,0,0,135.65,0.7,104.0,79.1
2019-07-19,26.0,4.3,0,0,95.58,0.99,106.1,83.8
2019-07-20,26.3,2.0,0,0,114.64,0.64,103.6,74.9
2019-07-21,25.8,0.1,0,0,131.08,0.44,102.3,71.7
2019-07-22,26.6,0.4,1,0,133.89,1.44,104.9,76.9
2019-07-23,28.2,1.2,1,0,132.64,1.12,105.3,72.6
2019-07-24,26.6,0.2,0,0,125.11,1.29,102.8,83.7
2019-07-25,26.3,5.0,0,0,136.47,0.86,103.7,65.6
2019-07-26,25.9,0.4,0,0,148.09,0.54,102.5,77.4
2019-07-27,24.6,3.4,0,0,116.53,0.87,103.2,77.1
2019-07-28,25.9,0.6,1,0,183.81,1.23,104.2,84.6
2019-07-29,22.0,0.1,0,0,111.67,1.1,101.4,76.6
2019-07-30,26.5,1.6,0,0,119.89,1.09,105.4,85.0
2019-07-31,25.2,13.3,0,0,133.08,0.84,106.0,74.3
2019-08-01,26.8,0.6,0,0,114.05,0.99,105.2,74.4
2019-08-02,25.9,0.5,0,0,113.67,1.62,104.0,83.3
2019-08-03,25.7,1.9,0,0,154.83,0.73,104.6,75.0
2019-08-04,24.4,11.1,0,0,137.06,1.21,100.4,92.3
2019-08-05,27.0,0.9,0,0,105.06,0.82,103.1,83.3
2019-08-06,26.8,0.4,0,0,119.2,0.96,102.3,74.0
2019-08-07,23.5,2.6,1,0,182.25,1.49,105.1,79.9
2019-08-08,25.5,1.9,0,0,128.39,0.77,101.7,70.3
2019-08-09,27.5,1.0,0,0,139.07,1.19,103.7,69.8
2019-08-10,25.4,0.5,1,0,153.32,1.14,103.0,72.7
2019-08-11,23.6,5.7,0,0,124.91,0.85,104.6,84.3
2019-08-12,22.1,2.9,0,0,103.08,0.76,102.6,75.6
2019-08-13,26.8,3.3,0,0,145.35,0.64,102.5,77.2
2019-08-14,22.7,0.1,0,0,122.9,0.74,109.8,75.8
2019-08-15,21.5,1.1,0,1,131.95,0.97,103.9,71.0
2019-08-16,26.0,17.2,0,0,131.03,0.97,103.0,70.6
2019-08-17,25.2,1.5,0,0,123.88,0.61,106.0,67.6
2019-08-18,24.3,1.8,0,0,138.51,1.39,101.1,66.8
2019-08-19,24.6,2.2,0,0,118.13,0.43,105.8,71.2
2019-08-20,23.8,2.5,0,0,143.64,0.4,103.7,71.9
2019-08-21,24.6,8.5,1,0,146.21,0.81,105.7,71.5
2019-08-22,23.8,3.7,0,0,142.41,0.71,106.0,62.2
2019-08-23,23.9,1.6,0,0,127.27,0.96,103.8,69.4
2019-08-24,23.5,3.5,1,0,116.83,1.02,101.5,72.2
2019-08-25,24.2,0.5,0,0,151.91,0.8,105.9,71.1
2019-08-26,22.2,6.0,0,0,102.06,1.13,105.1,75.2
2019-08-27,23.4,4.4,1,0,124.61,1.06,105.4,72.5
2019-08-28,20.4,0.9,0,0,133.45,0.54,105.0,72.6
2019-08-29,22.2,2.5,1,0,127.26,0.94,103.8,74.0
2019-08-30,24.5,0.8,1,0,115.49,0.56,101.4,73.4
2019-08-31,22.4,4.3,0,0,124.29,0.84,106.2,73.6
2019-09-01,21.6,4.6,0,0,141.42,1.08,101.2,73.5
2019-09-02,21.8,2.2,0,0,112.45,0.49,105.2,57.4
2019-09-03,23.2,2.9,0,0,134.6,1.08,102.7,68.0
2019-09-04,20.9,6.8,0,0,126.8,1.5,104.2,69.9
2019-09-05,24.5,8.5,0,0,112.54,0.68,103.9,72.6
2019-09-06,21.9,3.3,0,0,137.65,0.42,104.4,72.8
2019-09-07,22.3,0.5,0,0,125.74,1.2,100.4,62.8
2019-09-08,24.8,0.1,0,0,143.99,0.86,100.0,62.7
2019-09-09,24.4,5.1,0,0,122.36,1.22,104.9,68.6
2019-09-10,20.5,10.4,0,0,118.71,0.78,104.5,67.9
2019-09-11,20.1,2.6,0,0,117.52,0.74,103.8,77.1
2019-09-12,20.5,3.7,0,0,141.63,0.97,100.6,65.9
2019-09-13,21.1,3.0,0,0,107.74,0.6,104.5,63.1
2019-09-14,22.5,4.5,0,0,158.57,1.28,103.1,61.2
2019-09-15,19.4,5.5,1,0,130.64,0.46,104.6,63.1
2019-09-16,20.5,8.1,0,0,119.35,1.03,103.9,63.4
2019-09-17,18.4,1.9,0,0,124.16,1.07,103.6,59.4
2019-09-18,22.3,1.9,0,0,149.04,1.38,101.9,63.6
2019-09-19,21.9,7.4,0,0,133.46,0.74,101.0,57.3
2019-09-20,16.4,1.8,0,0,127.87,1.5,101.3,70.3
2019-09-21,20.1,0.7,0,0,142.85,1.04,100.7,67.5
2019-09-22,19.3,7.2,0,0,133.43,0.97,104.8,60.3
2019-09-23,19.7,1.2,0,0,143.8,0.72,101.7,59.4
2019-09-24,19.7,1.7,0,0,152.48,1.3,103.6,56.2
2019-09-25,19.2,5.4,0,0,133.14,1.09,103.0,63.9
2019-09-26,19.8,4.9,0,0,112.73,0.88,103.7,60.2
2019-09-27,18.6,11.1,0,0,115.32,0.98,106.6,55.8
2019-09-28,20.8,3.3,0,0,152.74,0.75,104.2,64.8
2019-09-29,20.2,4.9,0,0,147.59,0.74,105.0,64.8
2019-09-30,15.0,2.5,0,0,97.65,1.19,100.5,60.0
2019-10-01,19.9,3.2,0,0,122.16,1.18,100.6,60.0
2019-10-02,18.4,5.4,1,0,123.12,1.04,100.9,61.0
2019-10-03,16.3,4.2,0,0,135.76,1.16,99.4,53.6
2019-10-04,17.4,0.9,0,0,104.87,0.48,102.1,60.0
2019-10-05,18.4,11.4,0,1,109.36,1.01,99.5,57.5
2019-10-06,19.4,2.7,0,0,111.44,0.52,99.1,61.5
2019-10-07,19.5,2.0,1,0,140.44,1.18,103.7,55.3
2019-10-08,16.9,0.5,0,0,126.15,1.04,100.7,56.5
2019-10-09,17.1,1.8,0,0,126.41,0.67,102.2,56.9
2019-10-10,18.9,5.4,0,0,125.02,1.05,102.6,69.9
2019-10-11,17.2,23.4,0,0,125.05,1.34,103.2,51.0
2019-10-12,16.4,6.1,0,0,129.55,1.01,99.5,58.1
2019-10-13,13.7,5.8,0,0,118.82,0.8,99.9,55.0
2019-10-14,17.6,9.2,1,0,135.97,0.97,102.0,49.6
2019-10-15,17.1,0.1,0,0,132.89,0.51,102.4,44.6
2019-10-16,15.9,7.1,0,0,122.41,0.92,101.4,52.1
2019-10-17,16.3,6.9,0,0,127.64,1.2,99.4,54.4
2019-10-18,13.8,6.0,0,0,124.7,0.73,99.9,53.3
2019-10-19,16.8,1.2,0,0,135.08,1.09,101.3,47.9
2019-10-20,18.0,15.0,0,0,115.75,1.34,103.7,50.2
2019-10-21,17.5,11.1,1,0,132.26,0.9,101.7,57.5
2019-10-22,14.4,1.1,0,0,107.82,1.02,102.9,45.6
2019-10-23,14.5,9.2,0,0,157.57,0.58,101.0,42.6
2019-10-24,14.7,1.2,0,0,128.48,0.57,102.3,41.5
2019-10-25,14.7,3.3,0,0,107.55,1.07,99.6,53.5
2019-10-26,16.0,2.8,0,0,170.1,1.31,100.2,52.9
2019-10-27,16.5,13.7,0,0,127.93,0.74,103.5,57.7
2019-10-28,13.9,1.0,0,0,105.6,1.23,98.6,49.2
2019-10-29,14.2,4.1,0,0,136.76,1.02,100.5,45.6
2019-10-30,13.0,6.1,0,0,132.76,0.78,102.1,48.0
2019-10-31,18.3,4.7,0,0,154.06,0.94,103.3,50.4
2019-11-01,12.9,9.5,0,1,135.44,0.84,102.1,46.5
2019-11-02,16.6,5.0,0,0,151.1,0.03,99.3,51.6
2019-11-03,14.9,4.7,0,0,151.24,1.23,97.5,40.2
2019-11-04,14.9,6.1,0,0,197.41,1.24,97.8,49.2
2019-11-05,15.0,3.3,1,0,134.85,0.93,99.0,46.7
2019-11-06,13.0,3.1,0,0,141.87,1.12,97.7,47.6
2019-11-07,15.5,1.0,0,0,135.29,0.93,101.1,47.4
2019-11-08,11.7,8.3,1,0,111.82,1.37,97.7,53.7
2019-11-09,13.4,2.2,0,0,128.94,1.13,100.6,50.1
2019-11-10,15.6,0.9,0,0,150.92,0.91,98.7,45.4
2019-11-11,14.0,4.3,0,0,133.0,1.12,103.4,52.9
2019-11-12,11.7,26.6,0,0,132.63,1.04,97.0,43.4
2019-11-13,12.5,1.2,0,0,116.79,1.53,100.4,49.1
2019-11-14,12.5,1.2,0,0,126.63,1.07,101.1,45.6
2019-11-15,16.0,5.8,0,0,110.64,0.94,100.8,45.7
2019-11-16,13.3,8.9,0,0,119.15,0.67,101.5,50.0
2019-11-17,13.3,0.9,0,0,142.11,1.01,99.7,45.9
2019-11-18,14.1,10.9,0,0,122.32,1.12,100.9,46.3
2019-11-19,14.8,24.1,0,0,98.27,0.57,100.8,49.1
2019-11-20,12.9,2.7,0,0,134.18,0.78,98.6,47.1
2019-11-21,13.3,1.6,0,0,112.18,1.04,97.3,45.7
2019-11-22,11.3,61.9,0,0,111.35,0.96,101.1,44.9
2019-11-23,12.9,7.3,0,0,125.86,1.29,97.3,50.5
2019-11-24,10.0,4.7,0,0,126.46,1.23,101.2,48.5
2019-11-25,13.3,2.9,0,0,138.83,0.81,102.6,35.7
2019-11-26,13.8,7.4,0,0,172.55,1.15,99.5,45.4
2019-11-27,11.1,0.7,0,0,141.94,0.54,102.0,42.0
2019-11-28,11.7,0.1,0,0,125.39,1.23,100.0,43.5
2019-11-29,11.5,6.8,0,0,133.41,0.54,100.2,41.9
2019-11-30,10.1,0.6,0,0,134.08,0.47,96.9,41.9
2019-12-01,13.8,11.9,0,1,125.83,0.69,98.3,44.1
2019-12-02,11.1,11.0,0,0,93.32,0.8,97.3,44.4
2019-12-03,10.2,6.1,0,0,125.28,1.04,101.8,38.9
2019-12-04,11.5,36.7,0,0,139.77,0.52,94.9,38.0
2019-12-05,13.2,7.3,0,0,135.27,1.32,96.7,40.7
2019-12-06,11.2,19.5,0,0,128.01,0.67,100.6,38.7
2019-12-07,12.7,5.5,0,0,148.17,0.52,97.6,51.9
2019-12-08,12.0,3.7,0,1,128.58,0.7,99.3,39.6
2019-12-09,11.9,7.6,0,0,141.71,1.01,98.9,38.7
2019-12-10,12.2,9.0,0,0,149.66,0.82,99.3,41.4
2019-12-11,13.9,1.9,0,0,123.62,1.1,95.6,35.7
2019-12-12,13.9,1.7,0,0,126.29,0.81,98.4,39.3
2019-12-13,13.4,4.8,0,0,96.52,0.56,98.8,40.4
2019-12-14,12.2,2.1,0,0,108.08,1.08,96.9,38.4
2019-12-15,11.3,7.7,0,0,120.68,0.54,101.3,37.6
2019-12-16,10.7,3.9,0,0,142.3,0.67,99.0,42.0
2019-12-17,14.9,1.7,0,0,163.79,1.02,94.8,38.3
2019-12-18,13.5,1.9,0,0,105.25,0.46,99.1,44.6
2019-12-19,11.8,10.0,0,0,107.23,0.49,96.9,42.1
2019-12-20,12.7,19.4,0,0,110.77,1.41,100.4,40.9
2019-12-21,12.5,9.6,0,0,126.53,1.09,97.3,39.9
2019-12-22,14.4,4.8,0,0,143.6,1.57,100.4,41.6
2019-12-23,14.3,18.4,0,0,144.02,0.72,101.0,34.3
2019-12-24,8.7,14.9,0,0,176.29,1.59,97.8,47.4
2019-12-25,13.7,8.9,0,1,101.67,1.09,98.7,32.5
2019-12-26,11.6,2.6,0,0,151.95,0.52,100.0,35.0
2019-12-27,12.1,5.4,0,0,102.46,0.59,98.4,33.5
2019-12-28,10.4,1.4,0,0,132.44,0.87,98.3,44.2
2019-12-29,11.3,5.4,0,0,115.26,0.92,100.7,46.0
2019-12-30,11.5,9.4,0,0,131.43,0.68,101.4,43.3
2019-12-31,13.0,5.7,0,0,140.52,0.96,97.7,36.6
2020-01-01,11.0,9.2,0,1,65.83,0.33,70.0,41.3
2020-01-02,9.7,1.0,0,0,85.9,0.15,69.0,46.3
2020-01-03,12.0,6.0,0,0,89.28,0.09,66.4,43.7
2020-01-04,11.6,19.9,0,0,70.54,0.31,63.7,39.5
2020-01-05,11.5,7.3,0,0,67.42,-0.16,70.5,43.2
2020-01-06,12.8,5.8,0,0,71.82,0.61,73.4,53.9
2020-01-07,9.9,0.8,0,0,77.26,0.08,68.8,50.7
2020-01-08,9.5,3.5,0,0,66.13,0.04,69.1,40.6
2020-01-09,12.7,37.7,0,0,52.17,0.14,67.7,49.3
2020-01-10,13.2,0.1,0,0,50.86,0.19,67.9,42.9
2020-01-11,14.0,2.9,0,0,67.55,0.01,68.8,43.7
2020-01-12,13.0,16.4,1,0,60.83,0.22,68.2,42.3
2020-01-13,14.6,6.7,0,0,70.3,0.95,67.4,44.9
2020-01-14,11.8,1.4,0,0,53.63,0.02,70.5,43.5
2020-01-15,15.3,5.7,0,0,67.64,0.25,68.5,49.0
2020-01-16,15.3,15.3,0,0,72.4,0.53,72.4,47.6
2020-01-17,13.3,21.1,0,0,105.98,0.34,71.4,41.9
2020-01-18,12.9,0.2,0,0,84.6,-0.06,66.7,54.4
2020-01-19,11.9,0.3,0,0,100.0,-0.44,69.3,36.1
2020-01-20,13.5,3.7,0,0,94.97,0.17,70.1,49.4
2020-01-21,12.3,3.7,0,0,65.26,0.31,68.2,37.4
2020-01-22,13.9,17.5,1,0,71.07,-0.04,68.9,35.5
2020-01-23,15.3,4.1,0,0,57.49,-0.35,69.2,52.9
2020-01-24,14.4,7.2,0,0,73.26,0.02,70.6,43.5
2020-01-25,11.3,5.9,0,0,84.83,0.24,70.2,44.4
2020-01-26,11.5,3.1,0,0,50.0,0.2,68.1,46.2
2020-01-27,15.7,10.9,0,0,66.93,-0.26,66.8,42.9
2020-01-28,14.7,2.8,0,0,65.3,-0.23,67.8,53.0
2020-01-29,16.0,0.0,0,0,76.97,0.09,70.0,52.9
2020-01-30,17.5,2.8,0,0,52.93,-0.24,67.1,46.3
2020-01-31,14.1,5.4,0,0,67.67,-0.02,65.6,44.1
